NAME	TITLE	SCORE	
FA2H		4.8406363	
NR3C2		4.8372183	
MOG		4.8157635	
ST18		4.413445	
TMEM125		4.0826583	
ERMN		3.6817038	
HAPLN2		3.6720302	
GAL3ST1		3.5082774	
GJC2		3.4331796	
ENPP2		3.3426063	
OPALIN		3.2697885	
PHYHIP		3.2152002	
MYBPHL		3.1979904	
MAL		3.164413	
S1PR5		3.160313	
LIPA		3.158068	
RNFT2		3.1108966	
MAP6D1		3.080301	
CREG2		3.0484111	
ENDOD1		3.0393858	
EFNA5		3.0335972	
AKAP19		3.0157979	
CNTN2		3.0080848	
CCDC47		2.9987638	
BIRC5		2.937526	
MOBP		2.9347296	
IRF2BP1		2.9294596	
KLK6		2.8881288	
RBM15B		2.865466	
JRK		2.8649595	
GJB1		2.8230932	
OTUD1		2.8028452	
C3orf18		2.7980242	
MCM2		2.7926514	
B3GNT9		2.754981	
DPP10		2.728874	
DOCK5		2.7128096	
DOCK10		2.7096727	
CLCA1		2.7083077	
ZFPM2		2.7042732	
ITGA2		2.7042608	
C2CD2		2.6813989	
NDRG1		2.6653454	
GABRG2		2.652333	
RASGRP3		2.6319985	
PAQR8		2.6303499	
ARL9		2.6104386	
BOK		2.5973263	
LZTS1		2.594629	
SLC45A3		2.5804584	
CLIP4		2.5625134	
WSCD2		2.5623503	
MYLK		2.5569935	
MFSD6L		2.5564833	
EFHD2		2.5529013	
VGLL2		2.5459313	
BEST4		2.5401232	
KCNH1		2.527712	
GABRA1		2.525903	
GPR150		2.521906	
DEXI		2.5200582	
WIPF3		2.519188	
LPAR3		2.517186	
WIPF1		2.4827888	
PHF20		2.4719827	
TTLL11		2.467935	
BEND4		2.4609346	
PMEL		2.457609	
ART3		2.451627	
CKAP2L		2.449171	
PLEKHA2		2.4465928	
FLT3		2.444368	
ZNF365		2.4387884	
PELI3		2.432286	
VPS26A		2.431967	
MRPL49		2.4210358	
FNDC4		2.4203053	
VWA1		2.4097557	
ADO		2.3992977	
DOLK		2.3977463	
RBM23		2.397248	
PPL		2.3946755	
METTL13		2.3882523	
TRIL		2.3875299	
INTS4		2.3820233	
RASL10A		2.3731215	
OVGP1		2.3707645	
AMPD3		2.3588276	
WDR43		2.3583221	
SLC46A3		2.3560557	
FAM222A		2.352812	
ELP3		2.35126	
NOL3		2.3491232	
RALGAPA1		2.3462002	
KCNC4		2.3345041	
GALC		2.3184876	
QPCT		2.3180215	
ECI2		2.3072493	
DKK3		2.3066995	
ADAMTS14		2.3064528	
MCAT		2.3031642	
RNF141		2.2983913	
LRP11		2.2972362	
CDC42EP4		2.2959142	
SLC22A17		2.295768	
POFUT3		2.284762	
RCAN2		2.2739406	
PPP3CA		2.2691166	
AP1S2		2.2683985	
TTC4		2.26719	
NEDD4L		2.2598956	
ASB13		2.2593327	
PLP1		2.2583513	
APEX2		2.249001	
GSTO1		2.2479246	
ELOVL6		2.2377148	
ZMAT4		2.2337966	
GANC		2.2298694	
SOX10		2.2297325	
ABCA8		2.223885	
TOLLIP		2.2221227	
FKRP		2.2180417	
ISOC1		2.209427	
CHST3		2.2084775	
DKK1		2.205515	
TMEM245		2.205216	
PHYH		2.2045555	
SORBS2		2.20185	
NUDT12		2.1962302	
SH2D5		2.1945164	
FRG1		2.193492	
PRRG2		2.1923912	
HPS6		2.189148	
TMC7		2.1839943	
FAXC		2.1829016	
ADAR		2.1811256	
ZSCAN31		2.17925	
SP2		2.176206	
FICD		2.1721075	
RPRD1B		2.1718802	
HCRTR2		2.170093	
FAM199X		2.1659734	
GPCPD1		2.1612167	
NDE1		2.1587956	
IFNAR1		2.1586156	
CRB2		2.1585083	
EMC1		2.150296	
INA		2.1471443	
TYSND1		2.1389627	
RBL2		2.13577	
EIF4H		2.134071	
CA12		2.1330473	
CHRNB2		2.129276	
EEPD1		2.1236901	
IFIT2		2.1149642	
HSD11B1		2.1135597	
KCNH8		2.1118593	
EFHD1		2.1092598	
SLC25A13		2.1049652	
MTDH		2.103795	
SPSB1		2.0915513	
XK		2.0914168	
CNP		2.0899394	
UNC5B		2.0889642	
PEX11A		2.0865216	
NDN		2.0842726	
SHROOM3		2.0715947	
BCL2L13		2.0697453	
DPYSL2		2.0669937	
CPLX1		2.0661902	
SH3TC2		2.0650852	
PIAS1		2.063107	
AATK		2.0617874	
ZNF248		2.0437179	
CERK		2.0392182	
SLC7A14		2.038734	
FAM20C		2.0329323	
LRRC20		2.0311685	
SLC12A2		2.0297277	
SSPN		2.0279148	
CNDP1		2.0277185	
ASB2		2.0273426	
BTBD3		2.0229175	
ASPA		2.0224917	
SLC24A2		2.0210397	
MED9		2.0206482	
PTGS1		2.017901	
CCDC30		2.017891	
KCNC1		2.0076013	
RMI1		2.005493	
CHRNA1		2.0017226	
ZNF470		2.0014606	
LYSMD2		2.0014346	
POLR1A		1.998271	
NCALD		1.9929279	
SERPINA1		1.9924821	
MAP2K1		1.9874139	
PDP1		1.9777341	
ATP8A1		1.9706589	
FGF10		1.9679129	
MTCH1		1.9674456	
ASH2L		1.9670018	
PIANP		1.9634821	
HPS4		1.963196	
RELN		1.9610606	
SLC6A9		1.9595575	
SLC1A4		1.9587456	
DCAF10		1.9524822	
FOXP4		1.9517865	
EDIL3		1.9473433	
DOK1		1.9396144	
SLC9A7		1.9394091	
ZC3H4		1.9372851	
SPOCK3		1.9370364	
TSPYL4		1.9364741	
FGF12		1.9330373	
DHRS7		1.9309435	
SLC16A14		1.9308712	
NTSR2		1.9285088	
CLDN11		1.923883	
EPB41L3		1.9219604	
OLFM4		1.9202591	
IPCEF1		1.9150349	
ISM1		1.911832	
SNX18		1.911796	
RAB11B		1.9102803	
PCSK1		1.9061748	
AP2A2		1.9056871	
HTR1A		1.902758	
NGB		1.9027009	
TMEM144		1.9006119	
PNMA2		1.8990194	
CALU		1.8983849	
ARHGAP23		1.8970828	
HEXB		1.8910329	
SEL1L		1.8899772	
SLC18A1		1.8894008	
CAPZA2		1.8881553	
SYT11		1.887439	
