NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GAL3ST1	7	3.508277416229248	0.030196529	Yes	
row_1	NOL3	92	2.349123239517212	0.04142765	Yes	
row_2	SLC25A13	158	2.1049652099609375	0.052655257	Yes	
row_3	IRS2	357	1.7060308456420898	0.045286413	Yes	
row_4	QSOX1	372	1.6853678226470947	0.058587264	Yes	
row_5	PRPS1	415	1.639740228652954	0.06831191	Yes	
row_6	GAPDHS	442	1.6128802299499512	0.07961252	Yes	
row_7	PAM	471	1.5852471590042114	0.09044239	Yes	
row_8	ENO2	486	1.564352035522461	0.10267427	Yes	
row_9	KIF2A	528	1.5259088277816772	0.11150673	Yes	
row_10	GLCE	536	1.516913652420044	0.12411286	Yes	
row_11	DLD	663	1.415381669998169	0.12233617	Yes	
row_12	SDHC	757	1.3468912839889526	0.123694286	Yes	
row_13	CDK1	860	1.281524419784546	0.12345505	Yes	
row_14	GNE	861	1.280357837677002	0.1347649	Yes	
row_15	PGK1	885	1.2652860879898071	0.14333507	Yes	
row_16	AGL	987	1.210442066192627	0.14258127	Yes	
row_17	TGFA	1064	1.164428472518921	0.1442542	Yes	
row_18	AK4	1074	1.1600241661071777	0.15348114	Yes	
row_19	EFNA3	1110	1.1434884071350098	0.1596155	Yes	
row_20	NT5E	1116	1.1391433477401733	0.16911131	Yes	
row_21	CXCR4	1172	1.1081066131591797	0.1726666	Yes	
row_22	TPI1	1231	1.0801125764846802	0.17563462	Yes	
row_23	TGFBI	1239	1.077607274055481	0.1843602	Yes	
row_24	CHST12	1334	1.0297185182571411	0.1828033	Yes	
row_25	AURKA	1440	0.9918971657752991	0.1796657	Yes	
row_26	HS6ST2	1516	0.9557710886001587	0.1796088	Yes	
row_27	PPP2CB	1547	0.9435377717018127	0.18454358	Yes	
row_28	GOT2	1584	0.9270618557929993	0.18865286	Yes	
row_29	GNPDA1	1669	0.889387309551239	0.18698964	Yes	
row_30	EGLN3	1694	0.8808591365814209	0.19205071	Yes	
row_31	FKBP4	1713	0.8709466457366943	0.1977042	Yes	
row_32	COG2	1746	0.8583222031593323	0.20165958	Yes	
row_33	EXT2	1965	0.7844532132148743	0.18388356	No	
row_34	SAP30	2008	0.7680823802947998	0.18590856	No	
row_35	MXI1	2079	0.7457424998283386	0.18456304	No	
row_36	SRD5A3	2089	0.7434077262878418	0.19010988	No	
row_37	PDK3	2179	0.7108814716339111	0.18630321	No	
row_38	TPST1	2263	0.6795750260353088	0.18289997	No	
row_39	CHST2	2283	0.6697165369987488	0.18666258	No	
row_40	CHPF	2290	0.6673185229301453	0.19187728	No	
row_41	GALK2	2433	0.617473304271698	0.18123916	No	
row_42	RPE	2440	0.6160227656364441	0.18600073	No	
row_43	AKR1A1	2602	0.5675379037857056	0.1727683	No	
row_44	GPC4	2646	0.553447425365448	0.17278402	No	
row_45	STC2	2691	0.5377673506736755	0.17254789	No	
row_46	UGP2	2830	0.4974006712436676	0.16130243	No	
row_47	PYGB	2841	0.4925714135169983	0.16452022	No	
row_48	STC1	2863	0.4849964380264282	0.16642448	No	
row_49	SLC37A4	2881	0.4788844585418701	0.16872807	No	
row_50	GLRX	2928	0.46078774333000183	0.16758531	No	
row_51	VLDLR	3194	0.38379955291748047	0.14094381	No	
row_52	GYS1	3269	0.3586632311344147	0.1357258	No	
row_53	LHPP	3342	0.3369896113872528	0.13054298	No	
row_54	B3GAT1	3393	0.32367393374443054	0.12773573	No	
row_55	FAM162A	3414	0.31732144951820374	0.12827219	No	
row_56	MIOX	3417	0.3167996108531952	0.13084394	No	
row_57	SDC3	3427	0.31463858485221863	0.1326033	No	
row_58	HOMER1	3505	0.2934941053390503	0.12646964	No	
row_59	MDH1	3639	0.25550246238708496	0.11365405	No	
row_60	SLC25A10	3778	0.2184862643480301	0.099944845	No	
row_61	ALDOA	3856	0.19476844370365143	0.0929391	No	
row_62	HSPA5	3857	0.19457906484603882	0.09465788	No	
row_63	NANP	3904	0.18036089837551117	0.09103802	No	
row_64	GFPT1	3963	0.16807492077350616	0.085949704	No	
row_65	FUT8	4016	0.1531093865633011	0.08140915	No	
row_66	BIK	4020	0.15254542231559753	0.08241665	No	
