NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NR3C2	1	4.837218284606934	0.09362361	Yes	
row_1	ABCA8	119	2.2238850593566895	0.12357803	Yes	
row_2	ISOC1	122	2.2094271183013916	0.16616783	Yes	
row_3	PHYH	126	2.2045555114746094	0.20855092	Yes	
row_4	NUDT12	128	2.196230173110962	0.25099728	Yes	
row_5	PEX11A	164	2.086521625518799	0.28749922	Yes	
row_6	NPC1	620	1.4431592226028442	0.2643642	Yes	
row_7	ABCA2	1078	1.158484697341919	0.23548815	Yes	
row_8	DHCR24	1174	1.1077080965042114	0.24628402	Yes	
row_9	PEX26	1352	1.0234326124191284	0.24623746	Yes	
row_10	PIPOX	1480	0.9713045358657837	0.2507962	Yes	
row_11	EFHC1	1551	0.9411997199058533	0.2611732	Yes	
row_12	ABCD3	1575	0.930349588394165	0.27661845	Yes	
row_13	PFKM	1633	0.9090949296951294	0.28783333	Yes	
row_14	ACSL1	1887	0.8084837794303894	0.275086	Yes	
row_15	ABCA5	1979	0.7784793376922607	0.27995127	Yes	
row_16	PEX13	2045	0.7565190196037292	0.28731108	Yes	
row_17	HSD17B6	2262	0.6796077489852905	0.27622178	Yes	
row_18	AR	2359	0.6435213685035706	0.27791032	Yes	
row_19	PXMP2	2373	0.6376193761825562	0.28880614	Yes	
row_20	OPTN	2554	0.5831062197685242	0.27988997	No	
row_21	ABCD2	2601	0.567645251750946	0.2857236	No	
row_22	FADS2	3177	0.3873966634273529	0.22865288	No	
row_23	EPHX2	3404	0.31938478350639343	0.2094601	No	
row_24	NR1I2	3554	0.2805294692516327	0.19816215	No	
row_25	PEX11G	3789	0.216253861784935	0.17607242	No	
row_26	GNPAT	3961	0.16834403574466705	0.16012974	No	
row_27	CYP27A1	3985	0.1622408777475357	0.16069055	No	
row_28	PNPLA8	4038	0.146286740899086	0.15768524	No	
row_29	PEX1	4264	0.08005089312791824	0.13396692	No	
row_30	AMACR	4359	0.0523921363055706	0.12442512	No	
row_31	PECR	4739	-0.059662412852048874	0.08301613	No	
row_32	PEX16	4879	-0.10198308527469635	0.0693814	No	
row_33	HSD17B4	5140	-0.17255745828151703	0.04352487	No	
row_34	PEX6	5266	-0.2036583125591278	0.033432737	No	
row_35	RXRG	5434	-0.2551702857017517	0.019621827	No	
row_36	CYP39A1	5626	-0.3098583221435547	0.004175246	No	
row_37	ABCD1	5876	-0.3834669291973114	-0.01635887	No	
row_38	CROT	5923	-0.40017229318618774	-0.013770523	No	
row_39	SOD1	6240	-0.49853846430778503	-0.039599482	No	
row_40	TFCP2L1	6487	-0.5827954411506653	-0.055934068	No	
row_41	FDXR	6519	-0.5929136276245117	-0.04792613	No	
row_42	CAT	6666	-0.6433974504470825	-0.051855464	No	
row_43	NEDD4	6838	-0.6979188919067383	-0.057536	No	
row_44	PEX7	7014	-0.7606174945831299	-0.062450796	No	
row_45	SLCO1A2	7022	-0.7640476822853088	-0.048431195	No	
row_46	IDH2	7534	-0.9921619296073914	-0.08659496	No	
row_47	IDH1	7623	-1.0402791500091553	-0.07631956	No	
row_48	HSD17B11	7898	-1.1908290386199951	-0.08401629	No	
row_49	ABCA4	7972	-1.2277220487594604	-0.06842398	No	
row_50	GSTK1	8133	-1.335317611694336	-0.060517564	No	
row_51	RETSAT	8147	-1.3426011800765991	-0.035960574	No	
row_52	ABCA9	8194	-1.3754606246948242	-0.01447303	No	
row_53	ABCA6	8335	-1.5024464130401611	-0.0010818015	No	
row_54	BMP6	8397	-1.5575146675109863	0.022248961	No	
row_55	ALDH1A1	8783	-2.1032209396362305	0.019766312	No	
